iter	Passed	Remaining
0	2	2531
1	4	2095
2	5	1879
3	7	1818
4	9	1904
5	12	1989
6	13	1981
7	15	1970
8	63	6943
9	64	6412
10	67	6051
11	75	6234
12	78	5956
13	80	5660
14	82	5428
15	84	5186
16	86	4994
17	88	4824
18	89	4631
19	91	4467
20	92	4324
21	94	4191
22	95	4074
23	97	3951
24	98	3840
25	100	3748
26	101	3670
27	103	3592
28	105	3522
29	106	3453
30	108	3391
31	109	3317
32	111	3263
33	112	3207
34	115	3173
35	116	3125
36	118	3075
37	120	3050
38	121	3002
39	123	2969
40	125	2945
41	127	2907
42	129	2871
43	130	2838
44	132	2813
45	134	2781
46	135	2746
47	136	2716
48	138	2688
49	139	2659
50	141	2640
51	144	2628
52	146	2608
53	147	2587
54	149	2568
55	151	2551
56	152	2529
57	154	2503
58	155	2481
59	156	2455
60	158	2440
61	160	2423
62	161	2407
63	163	2385
64	164	2367
65	166	2354
66	168	2344
67	170	2333
68	171	2319
69	173	2309
70	175	2300
71	177	2289
72	179	2275
73	180	2263
74	182	2253
75	184	2247
76	187	2241
77	188	2231
78	190	2224
79	192	2217
80	194	2212
81	196	2202
82	198	2189
83	199	2176
84	201	2163
85	202	2153
86	204	2143
87	206	2141
88	208	2135
89	210	2124
90	211	2115
91	214	2113
92	215	2104
93	232	2244
94	267	2544
95	270	2544
96	276	2569
97	280	2585
98	282	2574
99	284	2559
100	286	2548
101	289	2547
102	291	2537
103	292	2523
104	294	2512
105	296	2499
106	298	2488
107	299	2476
108	301	2464
109	303	2451
110	304	2439
111	306	2429
112	308	2418
113	309	2405
114	311	2393
115	312	2383
116	314	2373
117	316	2363
118	318	2355
119	320	2349
120	321	2338
121	323	2329
122	325	2320
123	327	2313
124	329	2303
125	330	2295
126	332	2285
127	334	2281
128	336	2271
129	338	2265
130	340	2258
131	342	2249
132	343	2241
133	345	2232
134	347	2225
135	348	2216
136	350	2207
137	352	2199
138	353	2192
139	355	2186
140	357	2178
141	359	2170
142	360	2160
143	361	2149
144	363	2141
145	364	2134
146	366	2128
147	369	2124
148	370	2116
149	372	2108
150	373	2102
151	375	2095
152	377	2089
153	378	2080
154	380	2073
155	381	2065
156	383	2061
157	385	2056
158	387	2050
159	389	2046
160	391	2041
161	393	2036
162	395	2029
163	397	2024
164	398	2018
165	400	2012
166	402	2007
167	404	2004
168	406	1999
169	408	1996
170	410	1992
171	412	1987
172	453	2167
173	461	2190
174	463	2184
175	469	2197
176	474	2205
177	476	2202
178	478	2196
179	481	2191
180	483	2188
181	485	2181
182	486	2174
183	488	2167
184	490	2160
185	491	2151
186	493	2144
187	494	2137
188	496	2129
189	497	2122
190	499	2114
191	500	2108
192	502	2102
193	504	2095
194	505	2088
195	507	2080
196	508	2073
197	510	2067
198	511	2060
199	513	2055
200	515	2050
201	517	2043
202	519	2037
203	520	2032
204	522	2025
205	524	2021
206	526	2016
207	528	2010
208	529	2004
209	531	1999
210	533	1994
211	535	1988
212	536	1982
213	538	1976
214	539	1970
215	541	1965
216	543	1959
217	544	1953
218	546	1948
219	547	1942
220	549	1937
221	551	1931
222	552	1926
223	554	1921
224	556	1915
225	557	1910
226	560	1907
227	561	1902
228	563	1897
229	565	1891
230	566	1886
231	568	1881
232	570	1876
233	571	1870
234	572	1864
235	574	1861
236	577	1860
237	579	1856
238	581	1851
239	583	1847
240	585	1844
241	587	1840
242	589	1836
243	591	1832
244	593	1829
245	594	1823
246	596	1818
247	598	1813
248	599	1809
249	601	1804
250	603	1801
251	605	1796
252	606	1791
253	608	1787
254	636	1858
255	663	1927
256	665	1923
257	667	1919
258	669	1916
259	673	1918
260	678	1920
261	680	1918
262	683	1914
263	685	1910
264	688	1908
265	690	1904
266	691	1897
267	692	1892
268	694	1887
269	696	1882
270	697	1875
271	698	1870
272	700	1865
273	701	1859
274	703	1855
275	705	1851
276	707	1845
277	708	1841
278	710	1836
279	711	1830
280	713	1825
281	715	1820
282	716	1815
283	717	1810
284	719	1805
285	721	1801
286	723	1797
287	725	1793
288	727	1788
289	728	1783
290	730	1778
291	731	1774
292	733	1768
293	734	1764
294	736	1759
295	737	1754
296	739	1750
297	740	1745
298	742	1740
299	744	1736
300	745	1731
301	746	1725
302	748	1722
303	750	1717
304	751	1713
305	753	1708
306	755	1705
307	756	1700
308	758	1696
309	760	1692
310	762	1689
311	763	1684
312	765	1680
313	767	1676
314	768	1672
315	770	1668
316	773	1665
317	774	1661
318	776	1658
319	778	1654
320	780	1650
321	781	1646
322	783	1641
323	784	1637
324	786	1633
325	788	1630
326	790	1626
327	791	1622
328	794	1619
329	796	1616
330	798	1614
331	800	1611
332	802	1607
333	809	1614
334	835	1657
335	837	1654
336	840	1653
337	848	1661
338	850	1658
339	853	1656
340	854	1652
341	857	1650
342	860	1647
